epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.83614,0.8529,3.20111,1.49535,0.99593,0.5,0.49925,0.49866,0.82368,2.88164,1.25432,0.00011669,0.00011669,0.00011669
2,4.02948,0.39753,1.02362,1.09907,0.14076,0.44118,0.24399,0.1285,1.57292,9.2585,1.69934,0.000247575,0.000247575,0.000247575
3,7.16112,0.41823,0.66702,1.0819,0.36607,0.59034,0.21702,0.14316,2.39232,7.38242,2.27198,0.000375818,0.000375818,0.000375818
4,9.6547,0.41658,0.67334,1.09641,0.82317,0.5,0.42986,0.21844,1.49737,1.95594,1.81924,0.000501422,0.000501422,0.000501422
5,12.1162,0.46025,0.71058,1.11201,0.63933,0.40126,0.32184,0.14961,2.38958,2.63703,2.18164,0.000624385,0.000624385,0.000624385
6,15.2452,0.6046,0.79581,1.1941,0.00068,0.10714,0.00042,9e-05,4.00474,inf,9.8252,0.000744707,0.000744707,0.000744707
7,17.7302,0.5497,0.69301,1.14209,0.00058,0.17857,0.00059,0.00024,4.60123,inf,26.6229,0.000862389,0.000862389,0.000862389
8,20.1939,0.50978,0.57883,1.11819,0.00059,0.10714,0.00104,0.00022,nan,nan,nan,0.00097743,0.00097743,0.00097743
9,22.6409,0.47517,0.53296,1.08838,0.00147,0.06513,0.00114,0.00011,nan,nan,nan,0.00108983,0.00108983,0.00108983
10,25.0815,0.5244,0.58457,1.13447,0.44676,0.20168,0.20852,0.10588,3.1421,9.16801,11.8178,0.00119959,0.00119959,0.00119959
11,27.5631,0.52612,0.64977,1.15494,0.32431,0.63866,0.43311,0.26072,1.88888,2.69239,2.67836,0.00130671,0.00130671,0.00130671
12,30.036,0.5471,0.66267,1.12256,0.42311,0.15966,0.20623,0.077,2.41306,3.99663,3.53853,0.00141119,0.00141119,0.00141119
13,32.5009,0.48827,0.57986,1.10853,0.2165,0.20235,0.14491,0.0434,3.58706,3.96243,6.03268,0.00146896,0.00146896,0.00146896
14,34.9881,0.50425,0.61836,1.10816,0.09247,0.08824,0.07016,0.0379,3.78616,42.6714,7.81953,0.00145246,0.00145246,0.00145246
15,37.4527,0.48195,0.53692,1.08124,0.13218,0.18277,0.06893,0.01144,4.16973,8.89411,7.18026,0.00143595,0.00143595,0.00143595
16,40.5623,0.49796,0.53543,1.1163,0.00037,0.03571,0.00028,3e-05,4.993,10.0918,7.03498,0.00141945,0.00141945,0.00141945
17,43.0624,0.47172,0.5381,1.06441,0.13315,0.2479,0.12083,0.03193,4.04986,81.7798,6.20739,0.00140295,0.00140295,0.00140295
18,45.548,0.4699,0.54782,1.06787,0.19394,0.17647,0.1221,0.06377,3.08287,15.8659,4.45678,0.00138644,0.00138644,0.00138644
19,48.6538,0.42757,0.50679,1.08909,0.41992,0.67857,0.56861,0.33649,1.57146,12.2187,2.41434,0.00136994,0.00136994,0.00136994
20,51.1211,0.3838,0.46319,1.02928,0.82405,0.47059,0.4637,0.33853,1.45319,3.91089,2.30392,0.00135344,0.00135344,0.00135344
21,53.5647,0.39879,0.5129,1.05919,0.51097,0.53324,0.50429,0.37726,1.32103,5.06188,1.82712,0.00133693,0.00133693,0.00133693
22,56.0385,0.39277,0.48737,1.03471,0.70599,0.63243,0.62734,0.41696,1.31567,3.08421,1.78211,0.00132043,0.00132043,0.00132043
23,58.5073,0.37562,0.4984,1.04774,0.6125,0.75,0.79286,0.53299,1.06014,2.12768,1.38501,0.00130393,0.00130393,0.00130393
24,62.0323,0.41715,0.46973,1.05477,0.60853,0.55462,0.54359,0.33871,1.27963,3.64789,1.51203,0.00128742,0.00128742,0.00128742
25,64.5011,0.35841,0.43992,1.03344,0.60644,0.6596,0.61527,0.43338,1.2377,2.21523,1.57125,0.00127092,0.00127092,0.00127092
26,67.0581,0.33718,0.40347,1.01337,0.59972,0.69748,0.66098,0.45357,1.47696,2.18963,1.99247,0.00125442,0.00125442,0.00125442
27,69.5516,0.34167,0.41615,1.01379,0.71473,0.79202,0.71492,0.39985,1.41503,2.52693,1.77885,0.00123791,0.00123791,0.00123791
28,72.0379,0.39783,0.47145,1.02788,0.48083,0.72689,0.60744,0.39417,1.30206,1.93411,1.52857,0.00122141,0.00122141,0.00122141
29,75.1113,0.39599,0.47456,1.05236,0.59494,0.71429,0.6732,0.44416,0.97865,2.55242,1.22477,0.00120491,0.00120491,0.00120491
30,77.5924,0.34385,0.39717,1.02196,0.686,0.78174,0.81859,0.64208,0.79631,1.69773,1.08822,0.0011884,0.0011884,0.0011884
31,81.1157,0.3652,0.43342,1.02727,0.6475,0.63482,0.64118,0.51726,0.95517,1.94042,1.23659,0.0011719,0.0011719,0.0011719
32,83.5846,0.3289,0.39009,0.99587,0.52963,0.85714,0.79748,0.62477,0.80186,1.56923,1.02931,0.0011554,0.0011554,0.0011554
33,86.0358,0.31682,0.35085,0.99241,0.55192,0.82773,0.81484,0.6673,0.7199,1.402,0.97627,0.00113889,0.00113889,0.00113889
34,89.6368,0.33237,0.33767,1.01054,0.7589,0.89286,0.85064,0.68522,0.64529,0.67696,0.85743,0.00112239,0.00112239,0.00112239
35,93.1942,0.32297,0.37857,0.99777,0.73127,0.82143,0.77945,0.66321,0.6804,0.7235,0.90216,0.00110589,0.00110589,0.00110589
36,95.6676,0.33064,0.39289,1.00376,0.71106,0.8459,0.82699,0.61316,0.80326,1.05457,0.99412,0.00108938,0.00108938,0.00108938
37,98.1847,0.29289,0.36365,0.96632,0.72247,0.72401,0.77835,0.48461,1.13128,1.37863,1.34419,0.00107288,0.00107288,0.00107288
38,100.67,0.29706,0.36494,0.98741,0.50899,0.82143,0.76707,0.5019,1.08704,1.83159,1.45133,0.00105638,0.00105638,0.00105638
39,103.131,0.2957,0.3593,0.9768,0.67519,0.80451,0.81697,0.62076,0.96344,1.09234,1.23119,0.00103987,0.00103987,0.00103987
40,105.639,0.31583,0.3491,1.00068,0.81866,0.81731,0.88916,0.69765,0.79768,0.68799,1.06685,0.00102337,0.00102337,0.00102337
41,108.573,0.30474,0.36379,0.99719,0.68064,0.82779,0.81202,0.62674,0.69118,0.90644,0.95531,0.00100687,0.00100687,0.00100687
42,111.705,0.31802,0.37626,0.98181,0.8482,0.80969,0.79895,0.69857,0.61568,0.7285,0.88867,0.000990365,0.000990365,0.000990365
43,114.185,0.30258,0.39752,1.03173,0.85189,0.82143,0.79287,0.69633,0.73469,0.81768,0.97209,0.000973861,0.000973861,0.000973861
44,116.658,0.29335,0.35704,0.97878,0.80352,0.85714,0.87399,0.73736,0.6664,0.68668,0.88292,0.000957358,0.000957358,0.000957358
45,120.17,0.26948,0.35046,0.97156,0.76978,0.71429,0.78741,0.6963,0.65864,0.84299,0.86975,0.000940855,0.000940855,0.000940855
46,122.683,0.28749,0.40226,0.97416,0.63986,0.78571,0.83238,0.70161,0.6478,0.7989,0.8619,0.000924352,0.000924352,0.000924352
47,125.169,0.26555,0.34129,0.97485,0.81373,0.75,0.829,0.69586,0.63595,0.81368,0.8685,0.000907848,0.000907848,0.000907848
48,127.657,0.2626,0.33238,0.96354,0.79108,0.89286,0.9182,0.7606,0.59538,0.56289,0.82624,0.000891345,0.000891345,0.000891345
49,131.205,0.25651,0.30736,0.99393,0.78155,0.82773,0.90015,0.76765,0.55952,0.63326,0.80622,0.000874842,0.000874842,0.000874842
50,134.178,0.25886,0.31303,0.96287,0.78088,0.82773,0.91147,0.75557,0.57297,0.55363,0.7959,0.000858338,0.000858338,0.000858338
51,136.646,0.28278,0.32192,0.96945,0.88824,0.84458,0.9417,0.76152,0.53464,0.55301,0.77826,0.000841835,0.000841835,0.000841835
52,139.114,0.2548,0.3022,0.95996,0.86224,0.78571,0.91382,0.75768,0.49168,0.67787,0.72512,0.000825332,0.000825332,0.000825332
53,141.652,0.27786,0.32368,0.96886,0.91803,0.8074,0.8465,0.71395,0.56315,0.7528,0.78238,0.000808828,0.000808828,0.000808828
54,144.126,0.26871,0.30869,0.96935,0.82144,0.79164,0.87285,0.73514,0.59777,0.70911,0.81914,0.000792325,0.000792325,0.000792325
55,146.595,0.28405,0.33994,0.97779,0.89389,0.89286,0.91655,0.78359,0.51728,0.58769,0.7728,0.000775822,0.000775822,0.000775822
56,150.193,0.25007,0.29106,0.97208,0.88036,0.84748,0.88858,0.75927,0.59109,0.53737,0.82808,0.000759318,0.000759318,0.000759318
57,152.696,0.25139,0.28542,0.95994,0.80463,0.82143,0.87184,0.7198,0.68133,0.63943,0.89814,0.000742815,0.000742815,0.000742815
58,155.793,0.25439,0.28694,0.94941,0.82468,0.83161,0.87622,0.7424,0.6068,0.61822,0.83041,0.000726312,0.000726312,0.000726312
59,158.303,0.24488,0.29407,0.94512,0.78041,0.82143,0.79832,0.5589,0.69523,1.14447,0.93078,0.000709809,0.000709809,0.000709809
60,160.782,0.26175,0.31309,0.96173,0.73816,0.79846,0.85695,0.71789,0.61013,0.90771,0.87609,0.000693305,0.000693305,0.000693305
61,163.261,0.22369,0.29467,0.96277,0.80879,0.82143,0.8651,0.75861,0.54515,0.51204,0.80216,0.000676802,0.000676802,0.000676802
62,165.747,0.21483,0.25995,0.94084,0.88221,0.85714,0.86378,0.75765,0.56842,0.47721,0.82239,0.000660299,0.000660299,0.000660299
63,168.272,0.24937,0.31658,0.97081,0.88401,0.89286,0.88664,0.76587,0.54607,0.46817,0.79411,0.000643795,0.000643795,0.000643795
64,170.772,0.24521,0.29713,0.94401,0.87748,0.89522,0.89881,0.76327,0.55739,0.46659,0.7858,0.000627292,0.000627292,0.000627292
65,173.255,0.21631,0.28427,0.9452,0.8253,0.85714,0.89075,0.72639,0.58391,0.52209,0.80905,0.000610789,0.000610789,0.000610789
66,175.766,0.22185,0.27601,0.95229,0.86542,0.8472,0.87357,0.73611,0.55016,0.50248,0.79309,0.000594286,0.000594286,0.000594286
67,178.281,0.20978,0.25714,0.94655,0.8478,0.82143,0.85776,0.71108,0.59527,0.53455,0.83905,0.000577782,0.000577782,0.000577782
68,180.776,0.21523,0.28685,0.93758,0.88306,0.82143,0.87276,0.75398,0.52237,0.4767,0.76738,0.000561279,0.000561279,0.000561279
69,183.897,0.21172,0.25504,0.95006,0.87745,0.85714,0.87152,0.73117,0.54582,0.49618,0.78901,0.000544776,0.000544776,0.000544776
70,186.407,0.23118,0.28062,0.95606,0.8418,0.89286,0.87694,0.74706,0.56591,0.55487,0.79943,0.000528272,0.000528272,0.000528272
71,188.891,0.23263,0.28528,0.96335,0.88488,0.89286,0.88858,0.73995,0.67089,0.6094,0.86553,0.000511769,0.000511769,0.000511769
72,192.002,0.20153,0.25529,0.94049,0.8447,0.92857,0.88885,0.75222,0.60288,0.47238,0.83839,0.000495266,0.000495266,0.000495266
73,194.484,0.22728,0.26823,0.96068,0.87436,0.92857,0.90119,0.78173,0.51091,0.44757,0.76438,0.000478762,0.000478762,0.000478762
74,196.969,0.20591,0.26236,0.93026,0.87097,0.89286,0.87074,0.78574,0.48819,0.5295,0.7467,0.000462259,0.000462259,0.000462259
75,200.108,0.2115,0.26502,0.94927,0.86933,0.82143,0.86976,0.76066,0.50292,0.56907,0.76085,0.000445756,0.000445756,0.000445756
76,202.577,0.22203,0.25486,0.95142,0.88415,0.82143,0.87368,0.7458,0.52072,0.59171,0.75558,0.000429253,0.000429253,0.000429253
77,205.039,0.20843,0.2443,0.95498,0.87211,0.89194,0.90294,0.77705,0.54939,0.52247,0.77436,0.000412749,0.000412749,0.000412749
78,207.53,0.19632,0.24261,0.9009,0.8808,0.92857,0.92346,0.79852,0.52968,0.49574,0.77734,0.000396246,0.000396246,0.000396246
79,210.477,0.20834,0.2485,0.92455,0.84164,0.96429,0.91769,0.79402,0.46114,0.39848,0.70396,0.000379743,0.000379743,0.000379743
80,212.931,0.21774,0.22812,0.93844,0.8492,0.92042,0.90172,0.77572,0.44408,0.42521,0.69506,0.000363239,0.000363239,0.000363239
81,215.398,0.19162,0.21673,0.94728,0.81335,0.96429,0.88241,0.75833,0.47981,0.49801,0.73757,0.000346736,0.000346736,0.000346736
82,217.944,0.21308,0.25185,0.96739,0.81852,0.96429,0.89342,0.76292,0.49806,0.49777,0.74647,0.000330233,0.000330233,0.000330233
83,220.453,0.19636,0.23319,0.93789,0.83115,0.96429,0.9155,0.79186,0.48281,0.44338,0.73365,0.000313729,0.000313729,0.000313729
84,222.934,0.1835,0.23096,0.93783,0.81683,0.96429,0.92099,0.80451,0.48836,0.41294,0.73212,0.000297226,0.000297226,0.000297226
85,226.483,0.18906,0.23073,0.91873,0.90101,0.85714,0.92726,0.81981,0.47314,0.41423,0.71327,0.000280723,0.000280723,0.000280723
86,230.032,0.1844,0.2329,0.91713,0.90336,0.85714,0.92258,0.80963,0.45906,0.41674,0.69993,0.00026422,0.00026422,0.00026422
87,232.514,0.17932,0.24206,0.95066,0.90466,0.85714,0.92441,0.81183,0.45157,0.41786,0.69863,0.000247716,0.000247716,0.000247716
88,235.005,0.21578,0.22585,0.93656,0.90851,0.88464,0.92312,0.80435,0.45316,0.42632,0.69869,0.000231213,0.000231213,0.000231213
89,238.123,0.19708,0.2298,0.94009,0.85558,0.96429,0.9179,0.79557,0.45217,0.46092,0.6991,0.00021471,0.00021471,0.00021471
90,240.606,0.17496,0.20429,0.91989,0.86107,0.96249,0.91626,0.78767,0.46175,0.44726,0.70574,0.000198206,0.000198206,0.000198206
91,243.534,0.21078,0.5141,0.98813,0.90188,0.89286,0.91543,0.78276,0.47494,0.42622,0.71839,0.000181703,0.000181703,0.000181703
92,246.05,0.22564,0.32807,0.98459,0.90356,0.89286,0.91071,0.77148,0.48814,0.42375,0.72742,0.0001652,0.0001652,0.0001652
93,248.526,0.19452,0.23079,0.96661,0.90469,0.89286,0.90737,0.77372,0.49333,0.4084,0.73159,0.000148696,0.000148696,0.000148696
94,251.04,0.18487,0.2058,0.96844,0.90039,0.89286,0.90495,0.76477,0.48529,0.43256,0.72451,0.000132193,0.000132193,0.000132193
95,253.539,0.17215,0.17155,0.9239,0.89287,0.89286,0.91623,0.79802,0.46822,0.45141,0.71304,0.00011569,0.00011569,0.00011569
96,256.034,0.19306,0.17095,0.9446,0.90816,0.88428,0.9169,0.79192,0.46775,0.44556,0.7153,9.91865e-05,9.91865e-05,9.91865e-05
97,258.526,0.18177,0.17647,0.94199,0.88194,0.92692,0.91593,0.79511,0.462,0.49699,0.71621,8.26832e-05,8.26832e-05,8.26832e-05
98,261.003,0.18266,0.17892,0.96466,0.84298,0.95939,0.91525,0.80131,0.45278,0.52671,0.7128,6.61799e-05,6.61799e-05,6.61799e-05
99,263.488,0.17705,0.16569,0.90188,0.8494,0.92857,0.92849,0.81475,0.46249,0.54121,0.72443,4.96766e-05,4.96766e-05,4.96766e-05
100,266.584,0.19712,0.17473,0.9325,0.85872,0.92424,0.93268,0.81471,0.46576,0.56615,0.72579,3.31733e-05,3.31733e-05,3.31733e-05
