epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2194,0.90592,4.16965,1.44507,0.91273,0.41755,0.47169,0.43243,0.61064,3.21555,0.94707,0.00011669,0.00011669,0.00011669
2,42.4497,0.42178,1.63354,1.12629,0.84177,0.75,0.77778,0.67684,0.62413,2.73792,0.8504,0.000247575,0.000247575,0.000247575
3,43.9769,0.33102,0.91742,1.04007,0.95602,0.71429,0.82033,0.56213,1.29486,3.02037,1.74152,0.000375818,0.000375818,0.000375818
4,45.3021,0.33594,0.73759,1.02229,0.63862,0.7563,0.65261,0.45738,1.20596,4.36722,1.45019,0.000501422,0.000501422,0.000501422
5,46.6247,0.37943,0.62383,1.05346,0.75477,0.60714,0.58855,0.37877,1.28025,3.86528,1.67096,0.000624385,0.000624385,0.000624385
6,47.9243,0.45701,0.62788,1.08051,0.65226,0.645,0.64757,0.40788,1.25716,4.08189,1.46581,0.000744707,0.000744707,0.000744707
7,49.2298,0.41395,0.56475,1.06147,0.92777,0.34863,0.64228,0.48024,1.13749,3.04581,1.42428,0.000862389,0.000862389,0.000862389
8,50.5041,0.41569,0.52767,1.07096,0.55341,0.37505,0.41425,0.21682,2.50787,2.82137,2.71228,0.00097743,0.00097743,0.00097743
9,51.7914,0.38969,0.51122,1.03079,0.20636,0.2542,0.17904,0.08145,3.08962,5.4371,3.70988,0.00108983,0.00108983,0.00108983
10,53.0724,0.44818,0.57771,1.09145,0.35928,0.33503,0.18961,0.07063,2.97315,4.30686,3.54924,0.00119959,0.00119959,0.00119959
11,54.3707,0.42703,0.54461,1.0783,0.98035,0.03571,0.04302,0.00957,3.81762,4.53187,4.06958,0.00130671,0.00130671,0.00130671
12,55.6253,0.39939,0.51689,1.02492,0.61307,0.02941,0.0298,0.00726,4.11719,5.3994,10.0144,0.00141119,0.00141119,0.00141119
13,56.8903,0.40969,0.55372,1.04285,0.01136,0.02941,0.00605,0.0006,4.15911,5.63235,17.0981,0.00146896,0.00146896,0.00146896
14,58.1472,0.40712,0.48424,1.05486,0.01136,0.02941,0.00605,0.0006,4.65112,38.5598,13.6041,0.00145246,0.00145246,0.00145246
15,59.4156,0.35089,0.44839,0.99381,0.0002,0.03571,6e-05,4e-05,3.92653,53.0498,6.03353,0.00143595,0.00143595,0.00143595
16,60.7215,0.35722,0.42397,1.02715,0.05244,0.10714,0.01359,0.00609,3.99473,7.06081,5.01045,0.00141945,0.00141945,0.00141945
17,62.0394,0.39772,0.42852,1.02424,0.44364,0.06513,0.07885,0.04148,3.45125,7.69443,3.89794,0.00140295,0.00140295,0.00140295
18,63.3075,0.34948,0.43434,0.99097,0.14542,0.15336,0.11318,0.0534,2.95358,7.83776,3.24228,0.00138644,0.00138644,0.00138644
19,64.5903,0.3637,0.41607,1.0251,0.25978,0.33193,0.22713,0.09356,2.61034,5.10573,2.92262,0.00136994,0.00136994,0.00136994
