epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,32.1354,0.2579,0.40954,0.9432,0.7749,0.92857,0.88644,0.73849,0.62745,0.74554,0.84267,0.000990365,0.000990365,0.000990365
43,32.8465,0.24856,0.41529,0.99298,0.78855,0.96429,0.87033,0.73709,0.58566,0.74407,0.80978,0.000973861,0.000973861,0.000973861
44,33.5725,0.23737,0.36992,0.94084,0.83645,0.96408,0.93899,0.75833,0.67232,0.75615,0.88968,0.000957358,0.000957358,0.000957358
45,34.3575,0.21869,0.36178,0.94199,0.92698,0.85714,0.94098,0.7669,0.62534,0.75231,0.84639,0.000940855,0.000940855,0.000940855
46,35.1394,0.21142,0.39566,0.93174,0.89774,0.89286,0.94365,0.79992,0.52781,0.63068,0.76071,0.000924352,0.000924352,0.000924352
47,35.9287,0.22473,0.36005,0.9501,0.96402,0.82143,0.93448,0.80102,0.55243,0.64452,0.78514,0.000907848,0.000907848,0.000907848
48,36.7028,0.23359,0.36696,0.93475,0.86772,0.85714,0.92938,0.77063,0.63291,0.71131,0.85351,0.000891345,0.000891345,0.000891345
49,37.4356,0.22854,0.34812,0.95855,0.92592,0.82143,0.9072,0.75108,0.65171,0.71127,0.84899,0.000874842,0.000874842,0.000874842
50,38.1583,0.21413,0.3508,0.93333,0.86001,0.84238,0.9247,0.78121,0.52778,0.69496,0.74592,0.000858338,0.000858338,0.000858338
51,38.8656,0.24463,0.35815,0.93794,0.87475,0.83963,0.9197,0.77534,0.49537,0.66762,0.72533,0.000841835,0.000841835,0.000841835
52,39.5853,0.21844,0.3482,0.93173,0.93099,0.85541,0.90808,0.75834,0.60332,0.69827,0.818,0.000825332,0.000825332,0.000825332
53,40.2987,0.23364,0.34256,0.93912,0.93563,0.8164,0.90982,0.74734,0.58077,0.65683,0.805,0.000808828,0.000808828,0.000808828
54,41.0077,0.21226,0.31965,0.93191,0.93036,0.81958,0.9091,0.75265,0.61676,0.73907,0.81223,0.000792325,0.000792325,0.000792325
55,41.7295,0.22458,0.34297,0.94403,0.91667,0.82143,0.86987,0.7569,0.64598,0.74714,0.83467,0.000775822,0.000775822,0.000775822
56,42.4356,0.19502,0.32483,0.93558,0.88705,0.81988,0.88208,0.77343,0.60958,0.80612,0.82981,0.000759318,0.000759318,0.000759318
57,43.1589,0.20879,0.32116,0.93803,0.89085,0.82143,0.89823,0.80428,0.52245,0.64421,0.78119,0.000742815,0.000742815,0.000742815
58,43.8811,0.20802,0.31401,0.9245,0.93317,0.82143,0.89719,0.79156,0.44684,0.57712,0.72229,0.000726312,0.000726312,0.000726312
