epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5804,1.06621,1.57439,1.31679,0.70247,0.3313,0.29591,0.16965,1.38585,2.8473,1.62768,0.000552011,0.000552011,0.000552011
2,135.798,1.15597,1.13963,1.34223,0.24456,0.33011,0.23717,0.14084,1.70201,1.98559,1.77604,0.00108575,0.00108575,0.00108575
3,208.929,1.14006,1.10775,1.32979,0.62642,0.77281,0.65283,0.45698,1.07965,1.68958,1.37162,0.00159748,0.00159748,0.00159748
4,265.728,1.10748,1.02858,1.30175,0.64996,0.68789,0.70342,0.50343,1.01721,1.14808,1.27894,0.00156798,0.00156798,0.00156798
5,323.142,1.06205,0.99259,1.27663,0.61201,0.56145,0.54462,0.3738,1.22334,1.3161,1.41437,0.00153497,0.00153497,0.00153497
6,378.889,1.01743,0.92811,1.24058,0.69845,0.64668,0.71286,0.55669,0.83093,1.10364,1.14033,0.00150197,0.00150197,0.00150197
7,435.772,0.99379,0.91296,1.23732,0.75033,0.64598,0.65967,0.51103,0.81148,0.79117,1.12256,0.00146896,0.00146896,0.00146896
8,491.98,0.97098,0.88887,1.22911,0.75297,0.74543,0.73723,0.57505,0.7657,0.83098,1.07295,0.00143595,0.00143595,0.00143595
9,550.532,0.93275,0.83729,1.19681,0.8607,0.5829,0.69447,0.55611,0.80375,0.82762,1.09972,0.00140295,0.00140295,0.00140295
10,606.861,0.94427,0.84398,1.20249,0.91901,0.57645,0.73879,0.60262,0.69731,0.77751,1.02681,0.00136994,0.00136994,0.00136994
11,662.577,0.90178,0.79063,1.17336,0.8802,0.68076,0.74231,0.60072,0.78621,0.81353,1.07832,0.00133693,0.00133693,0.00133693
12,720.1,0.88222,0.77863,1.15828,0.84346,0.82843,0.86483,0.73572,0.67174,0.65716,1.01898,0.00130393,0.00130393,0.00130393
13,776.732,0.86952,0.7584,1.15551,0.81995,0.73076,0.79044,0.63568,0.74612,0.7757,1.0611,0.00127092,0.00127092,0.00127092
14,832.501,0.85595,0.73631,1.15178,0.78524,0.86108,0.86384,0.72783,0.67457,0.66441,1.01884,0.00123791,0.00123791,0.00123791
15,887.846,0.83692,0.74194,1.13345,0.72582,0.73828,0.76308,0.6428,0.68045,0.76707,1.00792,0.00120491,0.00120491,0.00120491
16,946.011,0.82814,0.71509,1.13133,0.86925,0.69763,0.77079,0.61363,0.70324,0.71223,1.01979,0.0011719,0.0011719,0.0011719
17,1002.16,0.80224,0.69346,1.1199,0.85473,0.76363,0.81165,0.68316,0.68375,0.69249,1.02608,0.00113889,0.00113889,0.00113889
18,1057.14,0.79434,0.68266,1.1128,0.52711,0.71865,0.64006,0.55074,0.63315,0.78253,0.97089,0.00110589,0.00110589,0.00110589
19,1112.27,0.80173,0.682,1.1195,0.86247,0.6895,0.80659,0.67465,0.62138,0.62984,0.96208,0.00107288,0.00107288,0.00107288
20,1170.86,0.77476,0.66343,1.1039,0.84492,0.82245,0.85631,0.70625,0.643,0.76898,0.96718,0.00103987,0.00103987,0.00103987
21,1226.87,0.75429,0.64262,1.09066,0.88199,0.66617,0.80823,0.66952,0.66558,0.76832,1.00919,0.00100687,0.00100687,0.00100687
22,1283.06,0.76149,0.64051,1.09895,0.84634,0.70373,0.84192,0.71174,0.62687,0.74881,0.96685,0.000973861,0.000973861,0.000973861
23,1340.63,0.74584,0.62746,1.08654,0.72635,0.76907,0.82337,0.70471,0.61284,0.6012,0.96075,0.000940855,0.000940855,0.000940855
24,1396.11,0.73032,0.61059,1.0798,0.66948,0.72406,0.76328,0.6397,0.59956,0.64698,0.95321,0.000907848,0.000907848,0.000907848
25,1451.39,0.72199,0.59206,1.07421,0.76898,0.87112,0.87836,0.74319,0.61256,0.60621,0.95287,0.000874842,0.000874842,0.000874842
26,1507.23,0.73296,0.60802,1.07945,0.70951,0.77379,0.81046,0.70246,0.6071,0.57914,0.94924,0.000841835,0.000841835,0.000841835
