epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7849,1.72905,4.65796,2.62502,1.64353,0.35772,0.26867,0.23875,0.10576,0.34221,0.23904,0.19312,0.0699,1.96517,3.80195,2.81615,1.65496,0.00046412,0.00046412,0.00046412
2,53.2717,1.72795,3.72407,2.16922,1.57821,0.34316,0.33293,0.2385,0.12655,0.30476,0.28227,0.18205,0.08468,1.80044,3.79102,2.92786,1.64235,0.000931143,0.000931143,0.000931143
3,60.0659,1.7378,3.62667,2.08464,1.56204,0.36994,0.33821,0.27339,0.13278,0.30532,0.268,0.19052,0.07276,1.83957,3.68889,2.38346,1.74173,0.00138873,0.00138873,0.00138873
4,66.4691,1.72881,3.64845,2.06691,1.57307,0.06138,0.09341,0.03292,0.01701,0.05574,0.08009,0.02419,0.0092,2.3125,6.26185,3.17731,1.93387,0.00138656,0.00138656,0.00138656
5,73.2331,1.69049,3.60103,2.00454,1.55495,0.21914,0.49548,0.24848,0.13781,0.18372,0.39143,0.17446,0.07335,1.85145,3.81105,2.75907,1.76277,0.00137241,0.00137241,0.00137241
6,80.654,1.65583,3.60322,2.00703,1.5456,0.15524,0.6014,0.12937,0.06998,0.15056,0.49517,0.10419,0.04574,1.66063,5.18646,4.93072,1.586,0.00135826,0.00135826,0.00135826
7,87.3554,1.64916,3.53565,1.95272,1.49596,0.29159,0.56216,0.33503,0.20054,0.24443,0.47689,0.24953,0.1168,1.64657,2.99201,2.40065,1.49873,0.00134412,0.00134412,0.00134412
8,94.2563,1.59677,3.4057,1.91533,1.49275,0.47753,0.40308,0.37048,0.20669,0.43423,0.34983,0.28699,0.13296,1.77417,2.99769,2.12186,1.54561,0.00132997,0.00132997,0.00132997
9,101.062,1.57547,3.37162,1.89286,1.47637,0.41779,0.4825,0.39877,0.21869,0.35527,0.41992,0.30605,0.11713,1.60271,2.86272,2.18686,1.4628,0.00131582,0.00131582,0.00131582
10,107.903,1.5454,3.37003,1.85355,1.4453,0.50199,0.54303,0.44527,0.30765,0.43699,0.47394,0.34768,0.1772,1.50619,2.81693,1.93066,1.38045,0.00130168,0.00130168,0.00130168
11,114.711,1.58086,3.36181,1.85807,1.44917,0.27197,0.30949,0.23205,0.13981,0.23848,0.26473,0.17604,0.07932,1.64277,2.89831,2.11168,1.4529,0.00128753,0.00128753,0.00128753
12,121.346,1.53128,3.32689,1.83564,1.44084,0.46801,0.51959,0.43506,0.30359,0.42777,0.42306,0.34929,0.18187,1.51581,2.89297,1.95378,1.39867,0.00127338,0.00127338,0.00127338
13,127.957,1.50623,3.42847,1.83244,1.43121,0.3992,0.55516,0.40182,0.26474,0.36094,0.48794,0.32868,0.15534,1.4535,2.86577,1.95943,1.3333,0.00125923,0.00125923,0.00125923
14,134.58,1.5128,3.40657,1.793,1.42093,0.4264,0.55402,0.45945,0.31599,0.38756,0.48393,0.3772,0.19101,1.44632,2.79373,1.86779,1.33396,0.00124509,0.00124509,0.00124509
15,141.403,1.5187,3.33948,1.80785,1.4249,0.38168,0.55783,0.45388,0.31771,0.32697,0.47516,0.35798,0.19148,1.55596,2.8964,1.91922,1.39222,0.00123094,0.00123094,0.00123094
16,148.022,1.46977,3.29498,1.75888,1.39977,0.40822,0.51284,0.42268,0.26389,0.31801,0.4222,0.27599,0.12394,1.47907,2.95033,2.12022,1.34972,0.00121679,0.00121679,0.00121679
17,154.63,1.46692,3.29558,1.78998,1.40854,0.49018,0.54532,0.50406,0.36534,0.45183,0.4692,0.40625,0.22664,1.50358,2.7545,1.80354,1.35486,0.00120265,0.00120265,0.00120265
