epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,124.538,1.37534,3.15584,1.67154,1.3188,0.48271,0.57699,0.50414,0.37251,0.41206,0.48753,0.38419,0.20137,1.40182,2.74439,1.77381,1.2744,0.00103288,0.00103288,0.00103288
30,128.824,1.37737,3.1503,1.68983,1.32377,0.42861,0.61718,0.54614,0.41897,0.40449,0.54801,0.4506,0.24647,1.45728,2.83877,1.75007,1.28991,0.00101873,0.00101873,0.00101873
31,133.087,1.37594,3.09667,1.64916,1.31306,0.49028,0.67089,0.59583,0.44925,0.4327,0.57723,0.47047,0.25088,1.45032,2.77066,1.73633,1.27449,0.00100459,0.00100459,0.00100459
32,137.509,1.36746,3.1554,1.64585,1.30533,0.54218,0.59247,0.58121,0.4234,0.4971,0.54493,0.48088,0.25151,1.37574,2.72398,1.71251,1.26021,0.00099044,0.00099044,0.00099044
33,141.693,1.35307,3.14801,1.62249,1.30306,0.48757,0.52433,0.51555,0.35965,0.4396,0.45602,0.40464,0.2029,1.40534,2.80972,1.83372,1.28788,0.000976293,0.000976293,0.000976293
34,145.885,1.36914,3.06691,1.63182,1.32189,0.60744,0.58178,0.59344,0.44548,0.55954,0.50022,0.48914,0.26505,1.35625,2.7206,1.69261,1.25561,0.000962146,0.000962146,0.000962146
35,150.124,1.34634,3.07756,1.62729,1.30455,0.585,0.59605,0.59312,0.45482,0.52711,0.53511,0.48131,0.27925,1.26112,2.71681,1.65133,1.20456,0.000947999,0.000947999,0.000947999
36,154.344,1.35904,3.11338,1.59585,1.31638,0.51436,0.63177,0.58538,0.42432,0.50345,0.55321,0.48322,0.2511,1.33063,2.71058,1.7107,1.22905,0.000933851,0.000933851,0.000933851
37,158.588,1.34834,3.09201,1.60735,1.30364,0.56829,0.57583,0.58774,0.42422,0.52356,0.5176,0.47558,0.253,1.34822,2.77557,1.71972,1.25135,0.000919704,0.000919704,0.000919704
38,162.815,1.34507,3.05242,1.56908,1.28884,0.52658,0.62126,0.57906,0.43755,0.50266,0.54267,0.48498,0.25419,1.32149,2.75693,1.6984,1.22904,0.000905557,0.000905557,0.000905557
